Product Details,ASIN,Pack Size,Segment,URL,Image URL,Brand,Price  €,Parent Level Sales,ASIN Sales,ASIN Revenue,Title Char. Count,BSR,Seller Country/Region,Fees  €,Active Sellers,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Fulfillment,Dimensions,Weight,ABA Most Clicked,Creation Date,Sponsored,Best Seller,Seller Age (mo),Seller,Display Order,Recent Purchases,Parent Level Revenue
"Loowoko Insektenvernichter Elektrisch, 4200V Mückenlampe Mit LED-Licht, Wasserdicht Fliegenfalle Elektrisch Mosquito Killer, Anti Mücken Lampe für Innen Outdoor Schlafzimmer Haus Patio Hinterhof",B0CT2T8GBK,,Electric,https://www.amazon.de/dp/B0CT2T8GBK?psc=1,https://m.media-amazon.com/images/I/71WZC+-n0dL._SX342_.jpg,Loowoko,29.99,486,486,"11,034.70",194,"2,023",AMZ,8.3,2,4.3,"1,000",7,21,Fangfa,Garten,Standard Parcel,AMZ,28.30 x 15.20 x 15.20 cm,0.9,,"Mar 5, 2024",,No,24,Fangfa,,,
YISSVIC Elektrische Fliegenklatsche extra stark 4000V 2 in 1 USB C mit Akku Aufladbar Elektro Mückenklatsche mit UV Lichtfalle Schwarz,B0BMWWGNXG,,Electric,https://www.amazon.de/dp/B0BMWWGNXG?psc=1,https://m.media-amazon.com/images/I/7114hDWE-mL._AC_SY355_.jpg,Yissvic,18.99,654,475,"8,315.74",134,348,GB,5.55,2,4.4,"13,057",10,,HUNDRED SALE LIMITED,Garten,Standard Parcel,FBA,44.20 x 4.40 x 28.30 cm,0.52,,"Mar 30, 2023",,No,36,HUNDRED SALE LIMITED,,,
"Insektenvernichter elektrisch, Mückenlampe 4200V Fliegenfalle mit 15W UV + 9W LED Mückenfalle elektrisch, IPX4 wasserdicht, Mückenabwehr für drinnen/draußen (3m Kabel)",B0DRJHXB5R,,Electric,https://www.amazon.de/dp/B0DRJHXB5R?psc=1,https://m.media-amazon.com/images/I/8174pLLtBpL._AC_SY355_.jpg,seenlast,33.99,209,203,"6,750.27",167,"5,996",CN,10.03,3,4.4,"2,394",9,29,Seelast,Garten,Standard Parcel,FBA,28.40 x 15.70 x 16.00 cm,1,,"Feb 28, 2025",,No,13,Seelast,,,
GeckoMan Ruhig Hybrides Spektrum Elektrischer Insektenvernichter Elektrisch Fliegenfalle Innenbereich Mückenfalle Innen Fruchtfliegenfalle Fliegenfänger Mückenlampe Insektenlampe mit 2 Ersatzbirnen,B0BVKGC941,,Electric,https://www.amazon.de/dp/B0BVKGC941?psc=1,https://m.media-amazon.com/images/I/71DTaBll7pL._AC_SY355_.jpg,GeckoMan,49.99,160,118,"5,882.55",197,"2,911",CN,12.94,5,4.3,"2,590",6,,Dan - DE,Garten,Standard Parcel,FBA,40.11 x 8.20 x 31.70 cm,1.82,,"Apr 3, 2023",,No,35,Dan - DE,,,
"Mückenlampe, Insektenvernichter Elektrischer Mückenschutz Steckdose, 4 Stück UV-Insektenfalle Fliegenfalle and Elektrisch Insekten Mückenfalle für Fliegen, Mücken, Motten",B0G34GMR9P,,Electric,https://www.amazon.de/dp/B0G34GMR9P?psc=1,https://m.media-amazon.com/images/I/71OaP5uaQ5L._AC_SY355_.jpg,PUTAII,20.99,109,109,"2,238.30",170,"4,272",CN,7.53,1,5,6,7,3,Suchenkeji,Garten,Small Parcel,FBA,16.90 x 7.40 x 13.60 cm,0.26,,"Jan 28, 2026",,No,2,Suchenkeji,,,
"Elektrische Fliegenklatsche, 4000V Insektenvernichter mit UV Mückenfalle, Elektro Fliegenfalle mit 1800 mAh Akku Aufladbar und Ladebasis, Fliegenfänger Stark für Mücken, Fliegen, Wespe, Motten",B0C9JD4NY1,,Electric,https://www.amazon.de/dp/B0C9JD4NY1?psc=1,https://m.media-amazon.com/images/I/71YBqHbO-SL._AC_SY355_.jpg,AOKKR,25.99,100,100,"2,089.12",192,"6,799",GB,6.54,3,4.5,"1,122",8,20,BABYJIALEDS LIMITED,Garten,Standard Envelope,FBA,14.50 x 2.20 x 9.80 cm,0.07,,"Jul 11, 2023",,No,32,BABYJIALEDS LIMITED,,,
YISSVIC Elektrische Fliegenklatsche extra stark 4000V 2 in 1 USB C mit Akku Aufladbar Elektro Mückenklatsche mit UV Lichtfalle Moskito Weiß,B0BMWW67VQ,,Electric,https://www.amazon.de/dp/B0BMWW67VQ?psc=1,https://m.media-amazon.com/images/I/71Odri8NXqL._AC_SY355_.jpg,Yissvic,18.99,654,124,"2,047.44",139,348,GB,5.16,2,4.4,"13,057",10,,HUNDRED SALE LIMITED,Garten,Standard Parcel,FBA,44.60 x 4.20 x 28.30 cm,0.51,,"Dec 12, 2022",,No,39,HUNDRED SALE LIMITED,,,
"Hochwirksame Fruchtfliegenfalle für Innenbereich | Elektrischer Insektenstecker mit Klebefalle für Küche & Haushalt | Gegen Obstfliegen, Fliegen, Motten, Mücken | 1 Gerät + 6 Nachfüllpatronen",B0DS22T55Z,,Electric,https://www.amazon.de/dp/B0DS22T55Z?psc=1,https://m.media-amazon.com/images/I/7164eGpAA9L._AC_SY355_.jpg,URBZUE,19.99,197,89,"1,774.62",191,"7,355",CN,5.84,1,3.1,521,7,12,URBZUE DIRECT,Garten,Small Parcel,FBA,15.90 x 8.60 x 10.80 cm,0.2,,"Mar 22, 2025",,No,12,URBZUE DIRECT,,,
GeckoMan Rotierender Kopf Wiederaufladbar Elektrische Fliegenklatsche Elektrisch Extra Stark Elektro Fliegenklatsche Mückenfalle Insektenvernichter Insektenfänger,B0DS8S2PD8,,Electric,https://www.amazon.de/dp/B0DS8S2PD8?psc=1,https://m.media-amazon.com/images/I/51D7yYA3G5L._AC_SY355_.jpg,GeckoMan,25.99,347,67,"1,737.43",162,"4,766",CN,5.84,1,4.4,"3,415",6,159,Dan - DE,Garten,Standard Parcel,FBA,44.09 x 3.61 x 24.69 cm,0.58,,"Jan 4, 2025",,No,14,Dan - DE,,,
"VEYOFLY Insect Catcher, Mosquitoes, Moths, Fruit Flies, No Zapper for Indoor Insects, with Suction Cup, Beetle Light and Glue (2 Devices + 6 Refills)",B0BKX931FF,,Electric,https://www.amazon.de/dp/B0BKX931FF?psc=1,https://m.media-amazon.com/images/I/71mUZVy9rAL._SX342_.jpg,VEYOFLY,39.97,71,29,"1,159.74",149,"19,965",,9.59,2,4,"3,070",9,47,VEYOFLY DE,Garden,Small Parcel,FBA,22.50 x 9.20 x 16.80 cm,0.56,,"Sep 19, 2024",,No,18,VEYOFLY DE,58.1.,,"2,212.65"
Elektrische Fliegenklatsche Elektro Fliegenfänger Insektenvernichter Mückenklatsche - Testsieger Kundenzufriedenheit (Set: 3 Stück),B08VNQ61QN,,Electric,https://www.amazon.de/dp/B08VNQ61QN?psc=1,https://m.media-amazon.com/images/I/81EPidW3FAL._AC_SY355_.jpg,GOODS+GADGETS,17.99,230,57,"1,018.46",131,"2,774",DE,7.96,1,3.9,"2,027",9,18,Goods & Gadgets GmbH,Garten,Standard Parcel,MFN,40.60 x 9.70 x 30.20 cm,0.71,,"Feb 2, 2021",,No,61,Goods & Gadgets GmbH,,,
"VEYOFLY Flight Insect Trap, Insect Catcher, Indoor Fly Trap, Safer Home, Fruit Fly Traps for Gnat, Moth, Mosquito, Insect Light for Inserting, Insect Killer (2 Devices + 6 Adhesive Cards)",B0BDT4XZR4,,Electric,https://www.amazon.de/dp/B0BDT4XZR4?psc=1,https://m.media-amazon.com/images/I/61-olCURIsL._AC_SX355_.jpg,VEYOFLY,31.97,90,30,953.93,187,"27,604",US,8.19,1,3.4,"12,246",9,113,VEYOFLY DE,Garden,Small Parcel,FBA,14.10 x 6.20 x 11.10 cm,0.25,,"Jun 6, 2024",,No,21,VEYOFLY DE,113,,"2,163.17"
"mafiti Elektrische Fliegenklatsche, Insektenvernichter mit Herausnehmbaren Batterien Insekten Mörder Frei von Giftstoffen und Gerüchen Ideal für Drinnen und Draußen（Gelb Schwarz）",B07RYLM7HH,,Electric,https://www.amazon.de/dp/B07RYLM7HH?psc=1,https://m.media-amazon.com/images/I/71AAyn-dD2L._AC_SY355_.jpg,mafiti,8.99,104,104,935.87,178,"7,407",HK,4.69,1,4.1,"2,437",7,10,greetek,Garten,Standard Parcel,FBA,44.79 x 3.20 x 22.30 cm,0.31,,"Jun 20, 2019",,No,81,greetek,,,
"VEYOFLY Fruchtfliegenfalle für Innenräume, 1 Gerät + 3 Nachfüllungen. Zieht Fliegen, Mücken und Fliegende Insekten mit sicherem Licht an und beseitigt sie. Ideal für Zuhause, einfach und effektiv.",B0BJ1FLRJ5,,Electric,https://www.amazon.de/dp/B0BJ1FLRJ5?psc=1,https://m.media-amazon.com/images/I/61-woeI30zL._SX342_.jpg,VEYOFLY,24.97,85,37,927.9,196,"8,215",US,8.33,1,4,"3,068",9,44,VEYOFLY DE,Garten,Small Parcel,FBA,22.50 x 8.90 x 10.80 cm,0.31,,"Aug 17, 2024",,No,19,VEYOFLY DE,,,
"Fly Trap, Indoor Fruit Fly Trap, Anti-Mosquito Lamp with Night UV Light, Mosquito Plug, Socket Fly Trap for Fruit Flies and House Flies (20 Stickers)",B0F2H4JNKB,,Electric,https://www.amazon.de/dp/B0F2H4JNKB?psc=1,https://m.media-amazon.com/images/I/61kfTphwrHL._AC_SY355_.jpg,URBZUE,13.99,183,62,872.94,149,"12,142",,4.88,1,3.1,526,7,18,URBZUE DIRECT,Garden,Large Envelope,FBA,16.30 x 3.40 x 12.20 cm,0.16,,"Apr 19, 2025",,No,11,URBZUE DIRECT,38.1.,,"3,932.87"
VEYOFLY Indoor Fly Trap - Socket Fly Trap for Fruit Flies and House Flies - Odourless and Clean (1 Device + 3 Adhesive Traps),B0BJ1LXR8B,,Electric,https://www.amazon.de/dp/B0BJ1LXR8B?psc=1,https://m.media-amazon.com/images/I/61bSrrB8izL._AC_SX355_.jpg,VEYOFLY,19.97,90,35,703.56,125,"25,194",,6.42,1,3.4,"12,246",9,117,VEYOFLY DE,Health & Personal Care,Small Parcel,FBA,12.19 x 6.10 x 9.30 cm,0.12,,"Jun 7, 2024",,No,21,VEYOFLY DE,113.1.,,"2,163.17"
Fruchtfliegenfalle & Obstfliegenfalle，Gelbe Klebefallen gegen Fliegen (40Stück),B0F6393HC8,,Electric,https://www.amazon.de/dp/B0F6393HC8?psc=1,https://m.media-amazon.com/images/I/71Az0lSVVOL._AC_SY355_.jpg,KLETTEREI,7.99,261,82,571.44,79,"6,259",CN,2.74,1,4,50,9,4,KLETTEREI,Garten,Standard Envelope,FBA,20.50 x 1.80 x 20.40 cm,0.21,,"Jun 19, 2025",,No,9,KLETTEREI,,,
"Indoor Fly Trap, Pack of 5 Adhesive Traps, Electric Fly Traps with UV Light, Fruit Fly Trap, Low Noise with Plug, Suitable for House Flies, Flying Insects and Moths",B0DZT5MZ6W,,Electric,https://www.amazon.de/dp/B0DZT5MZ6W?psc=1,https://m.media-amazon.com/images/I/71FgnKXBxfL._AC_SY355_.jpg,Kwoxet,14.99,42,10,130.32,164,"26,660",CN,4.45,1,3.2,201,9,58,daoyuxinqing store,Garden,Small Parcel,FBA,14.40 x 7.80 x 8.70 cm,0.16,,"May 30, 2025",,No,10,daoyuxinqing store,101,,319.03
"Patronus Fruit Fly Trap for Kitchen – 2 x Reusable Fruit Flies, Live Trap for Permanently Get Rid of Fruit Flying, Dishwasher Safe Fruit Fly Trap, Robust Fruit Fly Trap, Kitchen",B0DD4JYJBH,,Fruit-Bait,https://www.amazon.de/dp/B0DD4JYJBH?psc=1,https://m.media-amazon.com/images/I/81o5EHqaw8L._AC_SY355_.jpg,Patronus,12.69,804,323,"4,389.95",177,860,DE,4.26,1,4.4,423,9,15,Patronus Webshop,Garden,Small Parcel,FBA,16.00 x 9.20 x 11.30 cm,0.18,,"Aug 23, 2024",,No,19,Patronus Webshop,,,
"Fruchtfliegenfalle-Lebendfalle Trapango® wiederverwendbar ✓, Made in Germany ✓",B010O52076,,Fruit-Bait,https://www.amazon.de/dp/B010O52076?psc=1,https://m.media-amazon.com/images/I/81YHIGoIU0L._AC_SY355_.jpg,TRAPANGO,7.99,517,517,"4,125",78,"4,638",DE,5.12,3,4.4,"7,244",9,18,MACUR GmbH,Garten,Small Parcel,FBA,10.70 x 6.70 x 7.40 cm,0.02,,"Jul 15, 2015",,No,128,MACUR GmbH,,,
"Patronus Fruchtfliegenfalle für Küche - 1x Wiederverwendbare Fruchtfliegen Lebendfalle zum Fruchtfliegen dauerhaft loswerden, spülmaschinengeeignete Fruit Fly Trap, robuste Obstfliegenfalle Küche",B0DD4K8JPZ,,Fruit-Bait,https://www.amazon.de/dp/B0DD4K8JPZ?psc=1,https://m.media-amazon.com/images/I/81dZudByNzL._AC_SY355_.jpg,Patronus,7.95,735,456,"3,788.70",195,860,DE,3.68,1,4.4,423,9,14,Patronus Webshop,Garten,Small Parcel,FBA,11.30 x 9.20 x 9.30 cm,0.09,,"Sep 5, 2024",,No,18,Patronus Webshop,,,
"2X Fruchtfliegen-Lebendfalle Trapango®, (2er-Pack) wiederverwendbar ✓, Made in Germany ✓",B0119OJR1I,,Fruit-Bait,https://www.amazon.de/dp/B0119OJR1I?psc=1,https://m.media-amazon.com/images/I/81Wf5GurUiL._AC_SY355_.jpg,TRAPANGO,13.99,105,105,"1,468.19",88,"19,050",DE,5.43,2,4.5,"3,102",8,3,MACUR GmbH,Garten,Small Parcel,FBA,15.40 x 10.80 x 11.20 cm,0.09,,"Oct 24, 2016",,No,113,MACUR GmbH,,,
"4X Fruchtfliegen-Falle, Fruchtfliegen-Lebendfalle, Wiederverwendbare Fruchtfliegenfalle für Küche und Innenraum Obstfliegenfalle",B09QKJHNHJ,,Fruit-Bait,https://www.amazon.de/dp/B09QKJHNHJ?psc=1,https://m.media-amazon.com/images/I/71n0ecTBkjL._AC_SY355_.jpg,JULWHISPER,13.99,50,50,700.88,128,"29,712",CN,,1,3.9,480,6,1,JULWHISPER,Garten,Small Parcel,FBA,14.60 x 10.20 x 14.30 cm,0.22,,"Jan 17, 2022",,No,50,JULWHISPER,,,
"3X Fruchtfliegen-Lebendfalle Trapango®, (3er-Pack) wiederverwendbar ✓, Made in Germany ✓",B0119RTRJM,,Fruit-Bait,https://www.amazon.de/dp/B0119RTRJM?psc=1,https://m.media-amazon.com/images/I/91kn-pMR-uL._AC_SY355_.jpg,TRAPANGO,17.99,28,28,502.71,88,"34,937",DE,6.37,2,4.6,"1,114",8,1,MACUR GmbH,Garten,Small Parcel,FBA,17.70 x 10.20 x 12.70 cm,0.12,,"Oct 24, 2016",,No,113,MACUR GmbH,,,
"Super Ninja Fruchtfliegenfalle für Innenbereich – 4er-Pack, Wirksame Obstfliegenfalle für Haushalt und Küche, bis zu 3 Wochen Leistung pro Flasche, Kinder-und haustierfreundlich",B09SLX6GQS,4,Lure,https://www.amazon.de/dp/B09SLX6GQS?psc=1,https://m.media-amazon.com/images/I/91U7NWDkQkL._AC_SY355_.jpg,Super Ninja,14.99,"3,804","3,505","52,508.15",177,87,NL,5.29,2,4.2,"11,018",8,170,Super Ninja ECO,Garten,Large Envelope,FBA,12.70 x 3.40 x 7.40 cm,0.12,,"Mar 7, 2022",,No,48,Super Ninja ECO,,,
"Super Ninja Fruchtfliegenfalle für Innenbereich – 2er-Pack, Wirksame Obstfliegenfalle für Haushalt und Küche, bis zu 3 Wochen Leistung pro Flasche, Kinder-und haustierfreundlich",B0963J155G,2,Lure,https://www.amazon.de/dp/B0963J155G?psc=1,https://m.media-amazon.com/images/I/91uKS2rhgtL._AC_SY355_.jpg,Super Ninja,8.99,"3,815","3,150","25,191.80",177,163,NL,3.37,3,4.1,"20,803",8,273,Super Ninja ECO,Garten,Large Envelope,FBA,11.40 x 3.40 x 7.20 cm,0.06,,"Jun 22, 2021",,No,57,Super Ninja ECO,,,
"Super Ninja Fruchtfliegenfalle für Innenbereich – 6er-Pack, Wirksame Obstfliegenfalle für Haushalt und Küche, bis zu 3 Wochen Leistung pro Flasche, Kinder-und haustierfreundlich",B0DVBKLWTL,6,Lure,https://www.amazon.de/dp/B0DVBKLWTL?psc=1,https://m.media-amazon.com/images/I/81mXa9dNKcL._AC_SY355_.jpg,Super Ninja,20.99,"3,815",665,"13,946.30",177,163,NL,6.19,1,4.1,"20,803",8,273,Super Ninja ECO,Garten,Large Envelope,FBA,17.30 x 3.40 x 7.60 cm,0.18,,"Apr 8, 2025",,No,11,Super Ninja ECO,,,
"Super Ninja Fruchtfliegenfalle für Innenbereich – 12er-Pack, Wirksame Obstfliegenfalle für Haushalt und Küche, bis zu 3 Wochen Leistung pro Flasche, Kinder-und haustierfreundlich",B0C6M6DB5H,12,Lure,https://www.amazon.de/dp/B0C6M6DB5H?psc=1,https://m.media-amazon.com/images/I/91BY4AQDrnL._AC_SY355_.jpg,Super Ninja,38.99,"3,804",197,"7,686.85",178,87,NL,9.41,1,4.2,"11,018",8,179,Super Ninja ECO,Garten,Small Parcel,FBA,12.10 x 6.20 x 11.20 cm,0.37,,"Jun 23, 2023",,No,33,Super Ninja ECO,,,
"Aeroxon Fruchtfliegenfalle- 3 Stück Fruchtfliegen Falle Klebefalle - Mittel zur Fruchtfliegen bekämpfung, Fruchtfliege Fallen Innenbereich - Fleigenfallen für Küche",B07CHLZQNL,3,Lure,https://www.amazon.de/dp/B07CHLZQNL?psc=1,https://m.media-amazon.com/images/I/81mMhIwCQJL._AC_SY355_.jpg,Aeroxon,14.78,347,347,"5,118.92",164,"4,477",DE,4.22,5,3.9,"3,060",7,4,UE-SHOP,Garten,Extra Large Envelope,FBA,26.40 x 4.70 x 14.80 cm,0.26,,"May 21, 2018",,No,94,UE-SHOP,,,
PIC Fruchtfliegenfalle für Küche – 4 Klebefallen + 2 Lockstoffbehälter auf Essigbasis – Fliegenfalle Innenbereich gegen Fruchtfliegen & Essigfliegen – Obstfliegenfalle mit bis zu 16 Wochen Schutz,B07PHGN91L,4,Lure,https://www.amazon.de/dp/B07PHGN91L?psc=1,https://m.media-amazon.com/images/I/81PehEPcFhL._SX342_.jpg,PIC,14.95,186,186,"2,585.67",195,"4,493",DE,5.23,2,4,"5,022",7,,UE-SHOP,Garten,Extra Large Envelope,FBA,21.40 x 4.60 x 19.30 cm,0.21,,"Apr 23, 2019",,No,83,UE-SHOP,,,
Fruchtfliegenfalle 2X Fallen + 30ml Lockstoff – Wiederverwendbare Fallen – 50 Tage Wirkung – Obstfliegenfalle für Küche – Effektiv Fruchtfliegen bekämpfen,B097XV7KC7,2,Lure,https://www.amazon.de/dp/B097XV7KC7?psc=1,https://m.media-amazon.com/images/I/71O4zjuU91L._SX342_.jpg,Novokill,14.99,264,116,"1,739.20",154,"4,005",DE,5.92,2,4,"2,361",9,27,kæferling,Garten,Small Parcel,FBA,20.80 x 6.80 x 18.30 cm,0.08,,"Jun 29, 2021",,No,57,kæferling,,,
Fruchtfliegenfalle 4X Fallen + 100ml Lockstoff – Wiederverwendbare Fallen – Schnelle Wirkung – Obstfliegenfalle für Küche – Effektiv Fruchtfliegen bekämpfen,B09ZVHKK5K,4,Lure,https://www.amazon.de/dp/B09ZVHKK5K?psc=1,https://m.media-amazon.com/images/I/71ER7JzapJL._SX342_.jpg,Novokill,19.99,264,66,"1,325.07",156,"4,005",DE,3.04,1,4,"2,361",9,31,kæferling,Garten,Extra Large Envelope,FBA,20.70 x 5.30 x 17.40 cm,0.14,,"May 12, 2022",,No,46,kæferling,,,
"Super Ninja Fruit Fly Trap & Fungus Gnats Combi - 2 Fruit Fly Traps for Kitchen + 10 Yellow Plates Against Fungus Gnats, Nematode Free, Non-Toxic, Up to 3 Months Protection",B0DWTR65JD,,Lure,https://www.amazon.de/dp/B0DWTR65JD?psc=1,https://m.media-amazon.com/images/I/91hGBER57RL._AC_SY355_.jpg,Super Ninja,10.99,"3,625",99,"1,090.86",172,113,,4.3,1,4.2,"11,066",7,211,Super Ninja ECO,Garden,Large Envelope,FBA,18.30 x 3.80 x 13.20 cm,0.11,,"Mar 17, 2025",,No,12,Super Ninja ECO,24.2.,50,"58,598.39"
"ARDAP Fruchtfliegenfalle - Obstfliegenfalle zur Reduktion von Fruchtfliegen & Essigfliegen - Hochwirksamer Lockstoff - Fruchtfliegenfalle für Küche & Co., Fruchtfliegen dauerhaft loswerden (PT19)",B0D2HYTLT2,1,Lure,https://www.amazon.de/dp/B0D2HYTLT2?psc=1,https://m.media-amazon.com/images/I/61d7ZSiSy7L._AC_SY355_.jpg,ARDAP,5.99,"2,317",147,876.68,195,99,AMZ,4.04,5,4,"2,991",6,,Amazon,Garten,Small Parcel,AMZ,9.30 x 7.70 x 8.00 cm,0.1,,"Apr 23, 2024",,No,23,Amazon,,,
"Super Ninja Fruit Fly Trap & Fungus Gnats Combi - 2 Fruit Fly Traps for Kitchen + 10 Yellow Plates Against Fungus Gnats, Nematode Free, Non-Toxic, Up to 3 Months Protection",B0DWTY51S5,,Lure,https://www.amazon.de/dp/B0DWTY51S5?psc=1,https://m.media-amazon.com/images/I/91hGBER57RL._AC_SY355_.jpg,Super Ninja,10.99,"16,108",42,466.42,172,23,,4.3,1,4.4,"10,661",8,386,Super Ninja ECO,Garden,Large Envelope,FBA,18.20 x 3.80 x 13.30 cm,0.11,,"May 16, 2025",,No,10,Super Ninja ECO,37.2.,,"98,566.99"
"Blooven Gelbsticker Trauermücken Bekämpfen 30 Stück, Gelbtafeln für die Zimmerpflanzen Schädlingsbekämpfung (30 Stück)",B09PV8Z575,,Sticky,https://www.amazon.de/dp/B09PV8Z575?psc=1,https://m.media-amazon.com/images/I/61u-oT71hPL._AC_SY355_.jpg,Blooven,6.99,"17,628","13,332","86,501.52",118,15,CN,2.65,1,4.6,"22,320",6,542,Blooven,Garten,Standard Envelope,FBA,14.10 x 1.40 x 13.00 cm,0.1,,"Jan 17, 2022",,No,50,Blooven,,,
Super Ninja hochwirksame Gelbtafeln für Trauermücken Bekämpfen 30er-Pack – Gelbsticker für Pflanzen - Kinder- und haustierfreundlich - 3 Monate verwendbar,B0B9H1JJ83,,Sticky,https://www.amazon.de/dp/B0B9H1JJ83?psc=1,https://m.media-amazon.com/images/I/71To64n2kBL._AC_SX355_.jpg,Super Ninja,5.89,"16,968","14,189","83,428.63",154,23,NL,2.68,1,4.4,"10,564",8,446,Super Ninja ECO,Garten,Standard Envelope,FBA,12.80 x 2.40 x 7.40 cm,0.07,,"Aug 12, 2022",,No,43,Super Ninja ECO,,,
