"","Competitors","","Niche Median","","","B01MRHXM0I","B0D5DJBVCR","B00WMZMHPW","B09GDHSW99","B0DCNZVXTP","B0DGWQV8GK","B0D4DY85H3","B00E4GADNA","B09GD8T863","B0CJ3Z5TKN","B07WHKLYPW","B01JIRNEQW","B0GCCJFZ18"
"","Brand","","9","","","Terro","Super Ninja","Aunt Fannie's","Raid","Qualirey","HOT SHOT","Qualirey","Terro","STEM","Fly Away Product","Raid","Terro","ELEGENZO"
"","ASIN","","13","","","B01MRHXM0I","B0D5DJBVCR","B00WMZMHPW","B09GDHSW99","B0DCNZVXTP","B0DGWQV8GK","B0D4DY85H3","B00E4GADNA","B09GD8T863","B0CJ3Z5TKN","B07WHKLYPW","B01JIRNEQW","B0GCCJFZ18"
"","Outlier Search Volume","","2,734","","","804,376","49,645","74,881","43,250","0","193,556","0","0","2,734","3,270","0","0","0"
"","Strength","","4 Very Strong, 5 Very Weak, 1 Strong, 3 Weak","","","Very Strong","Very Strong","Very Strong","Very Strong","Very Weak","Strong","Weak","Weak","Very Weak","Very Weak","Weak","Very Weak","Very Weak"
"","Seller's Country","","8 US, 4 Amazon, 1 N/A","","","(Amazon)","US","US","(Amazon)","US","(Amazon)","US","US","(Amazon)","US","US","N/A","US"
"","Variations","","1","","","2","6","7","1","4","1","9","1","1","1","1","1","1"
"","30d Outlier Keywords","","1","","","54","5","5","10","0","18","0","0","1","1","0","0","0"
"","Rating","","3.8","","","4","3.7","3.8","3.6","4.3","2.4","4.4","4.1","3.8","4.3","3","4","2.5"
"","Review Count","","2,988","","","23,659","13,779","12,289","3,991","604","1,961","666","2,988","1,968","286","10,779","68,006","4"
"","Listing Age","","4 yrs, 6 mos","","","9 yrs, 4 mos","1 yr, 8 mos","10 yrs, 9 mos","4 yrs, 6 mos","1 yr, 7 mos","1 yr, 6 mos","1 yr, 10 mos","12 yrs, 7 mos","4 yrs, 6 mos","2 yrs, 5 mos","6 yrs, 7 mos","9 yrs, 6 mos","1 mo"
"","Price","","$9.99","","","$13.99","$9.99","$7.96","$6.99","$9.99","$16.49","$11.99","$8.01","$8.87","$13.49","$11.99","$6.77","$24.90"
"","30d Sales","","1,092—5,922","","","31,964","9,292","5,242","3,233","2,002","1,455","1,092","1,033","710","543","406","154","36"
"","30d Revenue","","$13,093—52,849","","","$479,140","$92,827","$41,726","$22,599","$20,000","$23,993","$13,093","$8,471","$6,305","$7,325","$4,868","$1,043","$896"
"","Fulfillment","","AMZ, FBA, FBM","","","10 x AMZ","1 x FBA","1 x FBA","1 x AMZ","1 x FBA","1 x AMZ","1 x FBA","9 x FBA","5 x AMZ","1 x FBA","2 x FBA","16 x FBM","1 x FBA"
"","KWs on P1","","157","","","431","404","333","338","116","231","81","157","153","79","201","132","61"
"","KWs on P1 Percentage","","36%","","","100%","93%","77%","78%","27%","53%","19%","36%","35%","18%","46%","30%","14%"
"","SV on P1 (Share of Voice)","","329,724","","","602,638","539,839","529,221","516,193","182,228","388,961","242,111","337,651","192,448","149,907","329,724","157,550","34,160"
"","SV on P1 Percentage","","55%","","","100%","90%","88%","86%","30%","64%","40%","56%","32%","25%","55%","26%","6%"
"","Advertised KWs","","0","","","26","0","0","0","15","0","13","0","0","0","0","0","6"
"","Advertised KWs Percentage","","0%","","","6%","0%","0%","0%","3%","0%","3%","0%","0%","0%","0%","0%","1%"
"","KWs with TOS Ads","","0","","","12","0","0","0","4","0","1","0","0","0","0","0","6"
"","KWs with TOS Ads Percentage","","0%","","","3%","0%","0%","0%","1%","0%","0%","0%","0%","0%","0%","0%","1%"
"","SV with TOS Ads","","0","","","8,185","0","0","0","1,627","0","877","0","0","0","0","0","4,284"
"","SV with TOS Ads Percentage","","0%","","","1%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","0%","1%"
"","Category","","13 Patio, Lawn & Garden","","","Patio, Lawn & Garden","Patio, Lawn & Garden","Patio, Lawn & Garden","Patio, Lawn & Garden","Patio, Lawn & Garden","Patio, Lawn & Garden","Patio, Lawn & Garden","Patio, Lawn & Garden","Patio, Lawn & Garden","Patio, Lawn & Garden","Patio, Lawn & Garden","Patio, Lawn & Garden","Patio, Lawn & Garden"