"","Search Terms","SV","Relev.","Sugg. bid & range","Launch Score","B01MRHXM0I","B0D5DJBVCR","B00WMZMHPW","B09GDHSW99","B0DCNZVXTP","B0DGWQV8GK","B0D4DY85H3","B00E4GADNA","B09GD8T863","B0CJ3Z5TKN","B07WHKLYPW","B01JIRNEQW","B0GCCJFZ18"
"","flyminator fruit fly trap","250","0.46153846153846156","","2","3","7","17","","41","50","","","45","","37","55",""
"","food flies trap","250","0.46153846153846156","","2","1","7","18","12","56","33","","53","","","32","52",""
"","fruit and drain fly eliminator","250","0.46153846153846156","","2","6","12","37","10","","","","","34","","","","23"
"","fruit and drain fly killer","250","0.46153846153846156","","2","5","10","36","15","","","","103","42","56","40","62","48"
"","fruit bugs traps indoor","250","0.46153846153846156","","2","1","6","29","9","","11","","","","","36","",""
"","fruit dly traps indoor","250","0.46153846153846156","","2","1","4","9","15","56","57","","","102","","28","42",""
"","fruit fly bait refill liquid","250","0.46153846153846156","","2","2","92","5","19","1","","3","53","96","4","59","128","110"
"","fruit fly fan trap","250","0.46153846153846156","","2","9","21","23","27","","42","","","45","","47","77","85"
"","fruit fly gnat drain killer","250","0.46153846153846156","","2","5","13","38","15","","","","","37","","35","",""
"","fruit fly juice refill","250","0.46153846153846156","","2","5","36","1","46","2","","3","","","6","","",""
"","fruit fly ninja","250","0.46153846153846156","","2","4","1","11","","","10","","","32","","","24",""
"","fruit fly spray for indoors","250","0.46153846153846156","","2","4","11","8","7","91","97","","","17","93","","22",""
"","fruit fly traps for indoors top rated","250","0.46153846153846156","","2","1","3","5","","","10","114","8","","","35","54","78"
"","fruit fly treatment","250","0.46153846153846156","","2","1","5","9","","21","","50","30","48","","52","","35"
"","get rid of fruit flies fast","250","0.46153846153846156","","2","1","6","27","16","40","31","76","","","","58","","54"
"","gnat and fruit fly drain killer","250","0.46153846153846156","","2","7","12","21","10","69","","72","","39","","23","",""
"","gnat apple trap","250","0.46153846153846156","","2","1","7","","11","","","","3","","","4","5","139"
"","gnat fruit fly trap indoor","250","0.46153846153846156","","2","1","10","29","12","","21","","","","","24","",""
"","gnattraps for indoors","250","0.46153846153846156","","2","1","6","","16","","40","","","","","28","29",""
"","how to get rid of fruit flies indoors","250","0.46153846153846156","","2","1","3","28","10","45","34","","","","","","",""
"","how to kill drain flies","250","0.46153846153846156","","2","9","","35","11","","","","","38","","37","","45"
"","knat killer indoor","250","0.46153846153846156","","2","1","7","24","19","","39","29","","","","","",""
"","net catchers for inside home","250","0.46153846153846156","","2","1","4","","10","","","","28","","","29","33",""
"","net killer indoor","250","0.46153846153846156","","2","1","3","36","4","","23","","","","","","40",""
"","spray for fruit flies","250","0.46153846153846156","","2","1","5","18","","122","136","134","124","32","16","94","45","84"
"","spray for fruit flies indoor","250","0.46153846153846156","","2","4","13","11","7","59","","102","135","16","96","131","24","98"
"","terro fruit fly refill","250","0.46153846153846156","","2","1","111","2","120","4","","3","37","96","9","90","68","130"
"","terro gnat trap refill liquid","250","0.46153846153846156","","2","1","98","10","96","4","","3","21","","11","74","",""
"","terro refills for fruit fly traps","250","0.46153846153846156","","2","1","","5","","4","","3","29","","11","","",""
"","zendozones fruit fly trap refill","250","0.46153846153846156","","2","13","34","2","","3","","8","","","7","","",""
"","green gobbler fruit fly and drain fly killer","250","0.46153846153846156","","2","7","22","31","9","106","","102","","34","92","40","68","48"
"","gnat killer indoor","22245","0.38461538461538464","","","1","6","29","23","","","36","76","51","92","53","",""
"","gnat killer","9907","0.38461538461538464","","","2","10","34","18","","","","","42","","","",""
"","nat traps for indoors","7976","0.38461538461538464","","","1","7","19","14","","","","46","51","","20","76",""
"","gnats killer indoor trap","5025","0.38461538461538464","","","3","10","22","13","","27","","","","","68","",""
"","fly traps indoor for home","4779","0.38461538461538464","","","8","69","31","73","","10","","33","","","45","",""
"","fruit fly spray","4669","0.38461538461538464","","","7","11","43","26","91","","83","","","24","","129","79"
"","fruit flies killer indoor","4188","0.38461538461538464","","","1","6","10","11","68","65","70","","36","56","48","","102"
"","gnats","3866","0.38461538461538464","","","1","5","35","11","","34","","","","","","",""
"","fruit fly trap refill","3418","0.38461538461538464","","","4","75","2","","1","","3","","","14","","",""
"","super ninja fruit fly trap","2519","0.38461538461538464","","","4","1","14","","8","9","","","","","70","102","120"
"","nats trap","2424","0.38461538461538464","","","1","4","16","","","23","","","","","28","53",""
"","gnat traps indoor","1371","0.38461538461538464","","","1","10","14","15","","25","","","","","54","133","101"
"","nat killer","1238","0.38461538461538464","","","1","9","29","10","","","","","44","","","",""
"","fruit fly refill liquid","961","0.38461538461538464","","","3","57","2","46","1","","4","129","54","5","75","86","82"
"","fruit fly spray killer indoor","885","0.38461538461538464","","","5","9","26","8","136","143","","","40","103","64","85","68"
"","veneno para moscas interior","754","0.38461538461538464","","","6","3","39","17","","25","","","","","","",""
"","nat fly traps indoor","698","0.38461538461538464","","","1","6","8","48","","20","","","","","21","",""
"","gnats killer","689","0.38461538461538464","","","1","5","28","10","","90","","","34","","115","",""
"","gnat fly trap","624","0.38461538461538464","","","1","20","22","23","","24","","","","","","",""
"","indoor fly killer","619","0.38461538461538464","","","14","8","37","","","18","","","","","","23",""
"","knats","593","0.38461538461538464","","","1","5","18","6","","34","","","","","","",""
"","knat catcher","566","0.38461538461538464","","","2","14","18","34","27","","","","","","","",""
"","indoor fly catcher","539","0.38461538461538464","","","5","11","","","","36","","45","","","","40",""
"","fruit fly refill","529","0.38461538461538464","","","5","55","1","70","2","","3","","","9","101","",""
"","fruit fly bar pro","468","0.38461538461538464","","","5","10","17","","","44","","","","23","","",""
"","net trap","250","0.38461538461538464","","","1","3","","6","","27","","14","","","","",""
"","hanging fly traps indoor","250","0.38461538461538464","","","21","29","","","","15","","34","","","","33",""
"","super ninja gnat traps","250","0.38461538461538464","","","4","1","23","","","13","","","","","37","",""
"","vinegar traps for gnats","250","0.38461538461538464","","","1","4","3","","13","","","7","","","","48","53"
"","terro refill","250","0.38461538461538464","","","2","85","4","","1","","6","","","34","","76",""
"","super ninja fruit fly","250","0.38461538461538464","","","4","1","12","7","","","","","13","","","",""
"","rescue fruit fly trap refill","250","0.38461538461538464","","","5","","16","","10","","15","","","24","","",""
"","quick way to get rid of fruit flies","250","0.38461538461538464","","","1","2","16","","138","30","118","81","49","92","47","48","36"
"","nets killer","250","0.38461538461538464","","","1","4","13","3","","","","","","","33","",""
"","inside fly traps for home","250","0.38461538461538464","","","8","12","","38","","4","","","","","","18",""
"","kills drain flies","250","0.38461538461538464","","","12","28","74","24","","","","49","33","","77","","26"
"","kill gnats inside house","250","0.38461538461538464","","","2","8","42","11","","26","","","","","61","",""
"","kitchen fly trap","250","0.38461538461538464","","","3","12","31","26","","9","","","","","","",""
"","nat and fly catcher for indoors","250","0.38461538461538464","","","3","14","","15","","45","","","","","39","",""
"","net traps indoor for home","250","0.38461538461538464","","","1","5","","10","","16","","","","","37","48",""
"","fly-trap indoor","250","0.38461538461538464","","","3","12","47","63","","28","","17","","","130","22",""
"","drain flies killer","250","0.38461538461538464","","","13","38","23","28","","76","130","55","43","64","72","91","86"
"","nats killer indoor","250","0.38461538461538464","","","1","7","28","13","","","","","","","40","",""
"","fruit fly trap refills","250","0.38461538461538464","","","6","55","3","","1","","2","","","14","","",""
"","super ninja fruit fly traps","250","0.38461538461538464","","","4","1","10","12","","15","","65","49","","","",""
"","gnat catcher indoor","250","0.38461538461538464","","","1","12","","23","","41","","","","","36","77",""
"","gnat traps for indoors","250","0.38461538461538464","","","1","11","20","14","","21","","","","","52","75",""
"","nats killer","250","0.38461538461538464","","","1","6","26","","","","","22","42","","","",""
"","fly gnat trap indoor","250","0.38461538461538464","","","1","6","39","","","28","","141","","","50","20",""
"","adhesive fruit fly traps for indoors","250","0.38461538461538464","","","1","9","43","11","","29","","52","","","64","",""
"","best fruit fly killer indoor","250","0.38461538461538464","","","1","8","19","13","","61","","46","48","","38","",""
"","best indoor fly trap for house flies","250","0.38461538461538464","","","4","26","69","28","","14","","73","","","43","101",""
"","drain fly and gnat killer","250","0.38461538461538464","","","18","21","75","17","","85","","138","66","","38","117","41"
"","flies get rid of","250","0.38461538461538464","","","2","9","25","10","","24","","48","","","","",""
"","fly punch","250","0.38461538461538464","","","6","4","1","7","","13","","62","68","","","64",""
"","fly trapper indoor","250","0.38461538461538464","","","4","10","","50","","20","","33","","","","36",""
"","fruit fly catcher indoor","250","0.38461538461538464","","","1","2","","15","","42","","","","","28","52",""
"","fruit fly killer drain","250","0.38461538461538464","","","6","7","43","17","47","121","124","57","49","","51","18","65"
"","fruit fly killer spray","250","0.38461538461538464","","","12","24","35","13","","","","","30","","61","115","80"
"","fruit fly killer spray indoor","250","0.38461538461538464","","","4","7","18","6","","","","","19","","","",""
"","fruit fly spray killer indoor food safe","250","0.38461538461538464","","","6","15","12","","","","","","32","","39","",""
"","fruit ninja gnat trap","250","0.38461538461538464","","","5","1","12","10","","73","","","85","","28","69",""
"","get rid of flies indoor","250","0.38461538461538464","","","3","9","43","13","91","23","","","","","","",""
"","get rid of gnats indoors","250","0.38461538461538464","","","1","6","32","10","","41","","118","108","","78","104",""
"","get rid of indoor flies","250","0.38461538461538464","","","3","9","36","17","","24","","109","","","75","",""
"","getting rid of fruit flies and gnats","250","0.38461538461538464","","","2","4","30","19","","25","","","","","","",""
"","getting rid of gnats and fruit flies","250","0.38461538461538464","","","3","9","31","17","","27","","87","83","","61","91",""
"","getting rid of gnats in house","250","0.38461538461538464","","","1","18","23","16","130","25","","","","","61","122",""
"","gnat and fly traps for house indoor","250","0.38461538461538464","","","2","13","","33","","21","","","","","36","",""
"","gnat bait","250","0.38461538461538464","","","1","","5","31","2","","116","","","6","","","46"
"","gnat bomb","250","0.38461538461538464","","","8","9","","4","","17","","","45","","","",""
"","gnat in house","250","0.38461538461538464","","","4","10","68","11","","","","","","","37","15",""
"","highest rated fruit fly trap","250","0.38461538461538464","","","1","3","25","11","","37","","","","","","",""
"","house gnats trap","250","0.38461538461538464","","","2","19","","27","","29","","","","","38","",""
"","how to get rid of tiny flies","250","0.38461538461538464","","","1","10","24","11","","29","","","","","","",""
"","indoor gnat catcher","250","0.38461538461538464","","","2","16","","26","","40","","","","","36","",""
"","indoor nat trap","250","0.38461538461538464","","","1","10","24","17","","","","","","","22","",""
"","gnat trap","11485","0.3076923076923077","","","1","10","","13","","","","","","","31","",""
"","fly","11086","0.3076923076923077","","","2","35","28","","","15","","88","","","","",""
"","fly traps indoor","9592","0.3076923076923077","","","3","32","18","","","11","","","","","130","",""
"","fly catcher indoor","6241","0.3076923076923077","","","7","23","78","63","","20","","34","","","111","",""
"","fly trap refill","5763","0.3076923076923077","","","27","","66","","14","","25","","","40","","",""
"","nats and flying insects traps indoor","4885","0.3076923076923077","","","1","6","79","9","","15","","","","","62","56",""
"","gnat","4764","0.3076923076923077","","","1","5","34","7","","","","","","","","",""
"","gnat catcher","3853","0.3076923076923077","","","1","14","18","","27","","","","","","82","",""
"","gnat repellent","3274","0.3076923076923077","","","4","23","","12","","24","","","","","","",""
"","house fly trap indoor","3134","0.3076923076923077","","","9","27","51","32","","4","","115","","","","",""
"","fly repellent indoor","2908","0.3076923076923077","","","15","13","73","37","","11","","","","","","",""
"","gnat catchers indoor","1764","0.3076923076923077","","","1","6","91","","","43","","","","","47","24",""
"","house fly trap","1684","0.3076923076923077","","","6","","14","27","","11","","","","","","",""
"","flies trap indoor","1640","0.3076923076923077","","","5","45","37","68","","15","","60","","","","",""
"","nat catcher","1524","0.3076923076923077","","","1","6","64","16","","","","36","","","","66",""
"","flytraps","1442","0.3076923076923077","","","13","44","39","47","","42","","","","","","",""
"","knat trap","1440","0.3076923076923077","","","1","10","","12","","","","","","","33","",""
"","fly and gnat traps indoor","1109","0.3076923076923077","","","5","3","48","21","","18","","","","","86","",""
"","fly trap bait","1052","0.3076923076923077","","","17","","","","44","45","41","85","","86","122","","99"
"","how to get rid of gnats","1029","0.3076923076923077","","","1","11","31","15","","","","","","","","",""
"","flies killer","1028","0.3076923076923077","","","10","6","","38","","8","","","99","","139","",""
"","gnat repellent indoor","1011","0.3076923076923077","","","1","7","","5","","40","","","","","","",""
"","knat traps","960","0.3076923076923077","","","1","6","13","","121","","","","","","38","",""
"","knat killer","959","0.3076923076923077","","","4","17","","32","","","","","43","","","",""
"","drain and fruit fly eliminator","955","0.3076923076923077","","","4","13","39","","","134","","","52","","106","64","24"
"","fruit fly traps for plants","925","0.3076923076923077","","","3","40","35","36","","","","","90","","78","","115"
"","gnat trap refill","821","0.3076923076923077","","","17","","5","","3","","7","","","85","","",""
"","fruit fly traps for indoors sticky","762","0.3076923076923077","","","2","23","73","14","","","","","","","96","21",""
"","eco strong drain and fruit fly eliminator","736","0.3076923076923077","","","10","26","","25","","","","","","","","","30"
"","gnat trap indoor","728","0.3076923076923077","","","4","8","","13","","36","","","","","54","82",""
"","raid fly trap","653","0.3076923076923077","","","37","","119","1","","45","","80","","","9","111",""
"","flying ant trap","596","0.3076923076923077","","","12","","","35","","6","","41","","","","",""
"","get rid of gnat infestation","561","0.3076923076923077","","","1","9","41","13","","","","143","","","86","94",""
"","small fly trap indoor","526","0.3076923076923077","","","1","19","35","","","12","","","","","","","98"
"","hot shot flying insect trap","521","0.3076923076923077","","","8","9","","6","","1","","","","","","",""
"","safe home indoor fly trap","499","0.3076923076923077","","","18","22","91","29","","31","","109","","","46","102",""
"","fruit fly killer for indoor plants","463","0.3076923076923077","","","4","15","32","33","143","","115","","61","","64","","124"
"","best way to get rid of house flies","250","0.3076923076923077","","","2","13","42","","","19","","","","","78","108",""
"","best way to kill house flies","250","0.3076923076923077","","","2","17","78","27","","19","","","","","","",""
"","commercial grade gnat killer","250","0.3076923076923077","","","19","42","","13","","","","","","","","35",""
"","dly traps indoor","250","0.3076923076923077","","","9","24","41","","","18","","","","","55","64",""
"","how get rid of gnats in house","250","0.3076923076923077","","","1","8","","18","","","","","","","","13",""
"","house fly killer indoor","250","0.3076923076923077","","","8","20","","33","","9","","","","","","",""
"","zevo spray fruit fly","250","0.3076923076923077","","","9","18","92","14","143","114","141","","37","","83","90","130"
"","zevo fruit fly spray","250","0.3076923076923077","","","13","19","95","6","142","116","143","","26","","83","128","129"
"","wondercide flying insect trap","250","0.3076923076923077","","","","31","","22","","30","","","","","40","",""
"","what are the most effective and safe indoor flying insect traps available","250","0.3076923076923077","","","10","33","","22","","40","","","","","47","100",""
"","trash can fly killer","250","0.3076923076923077","","","5","30","55","29","","15","","51","118","","58","87",""
"","to get rid of gnats in the house","250","0.3076923076923077","","","2","6","44","15","","","","","","","","",""
"","terro fly magnet","250","0.3076923076923077","","","11","45","","","","","","18","","","","33",""
"","terro fly","250","0.3076923076923077","","","2","51","","80","","63","34","12","","127","89","15",""
"","super ninja fruit flies","250","0.3076923076923077","","","5","1","11","","","","","","12","","","",""
"","sticky fruit fly traps for indoors","250","0.3076923076923077","","","10","17","","31","","102","","123","","","136","24",""
"","saferhome indoor fly trap","250","0.3076923076923077","","","13","33","","34","","45","","","","","","",""
"","rescue fruit fly trap","250","0.3076923076923077","","","3","11","24","","","116","","14","84","","79","83","94"
"","plant fruit fly trap","250","0.3076923076923077","","","8","37","41","42","","","","","89","","90","112","102"
"","drain and fruit fly cleaner","250","0.3076923076923077","","","11","36","44","10","","","","78","52","88","","","47"
"","drain cleaner fruit fly killer","250","0.3076923076923077","","","21","31","54","17","","","","","35","","","","106"
"","drain fly gnat killer","250","0.3076923076923077","","","11","22","60","17","","","","67","64","","47","","42"
"","drain fly kill","250","0.3076923076923077","","","11","","","19","","","","","29","","40","","48"
"","echo strong drain fruit fly eliminator","250","0.3076923076923077","","","","","","16","","","","","27","","","43","42"
"","electric fruit fly traps for indoors","250","0.3076923076923077","","","7","17","136","28","","44","","95","","","72","",""
"","evo fly trap","250","0.3076923076923077","","","9","18","46","","","36","","44","","","","",""
"","fly and fruit fly traps indoor","250","0.3076923076923077","","","1","8","21","","80","","","","","","37","","75"
"","fly drain killer","250","0.3076923076923077","","","14","44","52","23","","76","56","55","36","102","","","74"
"","fly indoor killer","250","0.3076923076923077","","","8","38","","30","","14","","","","","","",""
"","phorid fly killer","250","0.3076923076923077","","","4","33","113","28","","27","","","","139","68","112",""
"","fly infestation in house","250","0.3076923076923077","","","4","19","52","34","","5","","78","","","86","85",""
"","fly killer for house indoor","250","0.3076923076923077","","","7","4","","33","","22","","","","","","",""
"","fly trap kitchen","250","0.3076923076923077","","","1","13","29","","","8","","79","","","71","",""
"","flytrap indoor","250","0.3076923076923077","","","7","23","42","","","12","","","","","74","",""
"","fruit fly killer drain treatment","250","0.3076923076923077","","","13","29","","26","","","","","33","","","",""
"","fruit fly plant trap","250","0.3076923076923077","","","3","36","32","37","","116","","","67","","69","78","68"
"","fruit fly tape","250","0.3076923076923077","","","4","32","39","41","","","","","","","139","142",""
"","fruit fly trap electric","250","0.3076923076923077","","","8","36","","42","","32","","","","","","",""
"","fruit fly traps for indoors plug in","250","0.3076923076923077","","","7","30","144","33","","35","","","","","105","112",""
"","get rid of drain flies","250","0.3076923076923077","","","19","13","38","16","","","","","","","","",""
"","get rid of fruit flies in house","250","0.3076923076923077","","","1","4","14","","61","30","","54","","132","65","","123"
"","getting rid of gnats indoors","250","0.3076923076923077","","","1","11","44","7","","60","","","","","66","81",""
"","getting rid of house flies","250","0.3076923076923077","","","6","22","","42","","19","","72","","","","134",""
"","gnat and fruit fly killer","250","0.3076923076923077","","","1","5","22","","88","74","","","","","28","121",""
"","gnat fly traps indoor","250","0.3076923076923077","","","1","16","","19","","23","","","","","58","",""
"","gnat infestation","250","0.3076923076923077","","","1","8","24","","","36","","","","","64","81",""
"","gnat trap indoor kitchen","250","0.3076923076923077","","","1","5","18","","","","","","","","38","",""
"","gnat traps for house indoor refill","250","0.3076923076923077","","","7","19","","","8","","","","","","23","",""
"","hotshot flying insect trap","250","0.3076923076923077","","","26","9","","7","","1","","","","","","",""
"","house flies","250","0.3076923076923077","","","9","28","","43","","10","","","","","","",""
"","most effective indoor fly trap","250","0.3076923076923077","","","4","17","35","","","20","","","","","","",""
"","house fly","250","0.3076923076923077","","","9","27","","41","","13","","","","","","",""
"","kill gnats and fruit flies","250","0.3076923076923077","","","1","7","","","70","","","41","15","","","48",""
"","kill fly indoor","250","0.3076923076923077","","","6","27","","18","","16","","","","","","",""
"","kill drain gnats and flies","250","0.3076923076923077","","","10","16","48","13","","","","","47","","33","",""
"","kill drain flies","250","0.3076923076923077","","","21","19","","16","","","","","34","","","",""
"","inside fly trap","250","0.3076923076923077","","","9","30","","38","","6","","","","","","",""
"","indoor gnat and fly traps","250","0.3076923076923077","","","2","20","","18","","17","","","","","48","",""
"","indoor gnat and fly killer","250","0.3076923076923077","","","4","13","","15","","48","","","","","42","",""
"","indoor fly traps that work","250","0.3076923076923077","","","9","16","","31","","8","","","","","","",""
"","indoor fly removal","250","0.3076923076923077","","","4","19","","27","","11","","","","","","",""
"","indoor fly control","250","0.3076923076923077","","","7","45","","38","","8","","","","","","",""
"","how to kill gnats","250","0.3076923076923077","","","1","18","34","8","","","","","","","","",""
"","how to get rid of flies","250","0.3076923076923077","","","12","27","","24","","23","","","","","","",""
"","house flies killer indoor","250","0.3076923076923077","","","7","10","","35","","24","","","","","","",""
"","fly trap indoors","250","0.3076923076923077","","","7","39","35","","","12","","","","","78","50",""
"","indoor gnat traps","250","0.3076923076923077","","","2","10","","32","","31","","","","","47","",""
"","amazon gnat traps","250","0.3076923076923077","","","1","12","67","16","","","","","","","31","87",""
"","anti fly","250","0.3076923076923077","","","8","17","35","27","","68","","","","","","",""
"","anti gnat","250","0.3076923076923077","","","2","14","","","","29","","","","","39","",""
"","aunt fannie's fly punch","250","0.3076923076923077","","","4","7","1","","","","","","12","","","",""
"","aunt fannies fly punch","250","0.3076923076923077","","","4","8","1","","","","","","14","","","",""
"","best drain fly killer","250","0.3076923076923077","","","13","25","59","30","","","","68","","105","","88","43"
"","best fly killer for inside the house","250","0.3076923076923077","","","7","35","","27","","38","","","","","","",""
"","best fly traps for indoors","250","0.3076923076923077","","","11","27","50","38","","13","","","","","","",""
"","best gnat and fruit fly trap indoor","250","0.3076923076923077","","","3","12","46","18","","64","","","","","47","29","126"
"","best indoor fly trap","250","0.3076923076923077","","","17","30","99","42","","14","","121","","","71","98","130"
"","best indoor fly traps","250","0.3076923076923077","","","14","26","","40","138","13","","112","","","73","98","142"
"","best thing to get rid of flies indoor","250","0.3076923076923077","","","5","10","35","","","8","","","","","90","100",""
"","best way to get rid of fruit flies","250","0.3076923076923077","","","1","3","30","13","","","131","67","62","","57","52","86"
"","best way to get rid of gnats","250","0.3076923076923077","","","3","6","38","17","","","","","","","61","",""